over,ball,runs,extra,bowler,batsman,shot_direction
over,ball,runs,extra,bowler,batsman,shot_direction
19,6,6,,Josh Hazlewood,Shashank Singh,Covers
19,5,6,,Josh Hazlewood,Shashank Singh,Mid Wicket
19,4,4,,Josh Hazlewood,Shashank Singh,Square Leg
19,3,6,,Josh Hazlewood,Shashank Singh,Square Leg
19,2,0,,Josh Hazlewood,Shashank Singh,Long Off
19,1,0,,Josh Hazlewood,Shashank Singh,Long On
18,6,1,,Bhuvneshwar Kumar,Shashank Singh,Third Man
18,5,2,,Bhuvneshwar Kumar,Shashank Singh,Square Leg
18,4,4,,Bhuvneshwar Kumar,Shashank Singh,Fine Leg
18,3,0,,Bhuvneshwar Kumar,Shashank Singh,Long Off
18,2,0,,Bhuvneshwar Kumar,Shashank Singh,Covers
18,1,6,,Bhuvneshwar Kumar,Shashank Singh,Long On
17,6,0,,Yash Dayal,Kyle Jamieson,Mid Wicket
17,5,1,,Yash Dayal,Shashank Singh,Long On
17,4,2,,Yash Dayal,Shashank Singh,Square Leg
17,3,1 LB,,Yash Dayal,Kyle Jamieson,Mid Wicket
17,2,W,,Yash Dayal,Azmatullah Omarzai,Point
17,1,1 LB,,Yash Dayal,Shashank Singh,Mid Wicket
16,6,1,,Bhuvneshwar Kumar,Shashank Singh,Long Off
16,5,1,,Bhuvneshwar Kumar,Azmatullah Omarzai,Covers
16,4,W,,Bhuvneshwar Kumar,Marcus Stoinis,Third Man
16,3,6,,Bhuvneshwar Kumar,Marcus Stoinis,Covers
16,2,W,,Bhuvneshwar Kumar,Nehal Wadhera,Covers
16,1,0,,Bhuvneshwar Kumar,Nehal Wadhera,Covers
15,6,6,,Josh Hazlewood,Shashank Singh,Long On
15,5,1,,Josh Hazlewood,Nehal Wadhera,Covers
15,4,1 WD,,Josh Hazlewood,Nehal Wadhera,Square Leg
15,3,1 LB,,Josh Hazlewood,Shashank Singh,Mid Wicket
15,2,6,,Josh Hazlewood,Shashank Singh,Fine Leg
15,1,1,,Josh Hazlewood,Shashank Singh,Long On
14,6,1,,Romario Shepherd,Shashank Singh,Mid Wicket
14,5,0,,Romario Shepherd,Shashank Singh,Point
14,4,1,,Romario Shepherd,Nehal Wadhera,Square Leg
14,3,6,,Romario Shepherd,Nehal Wadhera,Mid Wicket
14,2,1,,Romario Shepherd,Shashank Singh,Square Leg
14,1,4,,Romario Shepherd,Shashank Singh,Long On
13,6,1,,Suyash Sharma,Shashank Singh,Long Off
13,5,1,,Suyash Sharma,Nehal Wadhera,Point
13,4,0,,Suyash Sharma,Nehal Wadhera,Point
13,3,2,,Suyash Sharma,Nehal Wadhera,Mid Wicket
13,2,0,,Suyash Sharma,Nehal Wadhera,Point
13,1,1 LB,,Suyash Sharma,Shashank Singh,Mid Wicket
12,6,1,,Krunal Pandya,Shashank Singh,Mid On
12,5,1,,Krunal Pandya,Nehal Wadhera,Mid Wicket
12,4,1,,Krunal Pandya,Shashank Singh,Long Off
12,3,0,,Krunal Pandya,Shashank Singh,Mid On
12,2,0,,Krunal Pandya,Shashank Singh,Covers
12,1,W,,Krunal Pandya,Josh Inglis,Long On
