MatchID,Franchise,TimestampFrameNumber,AudioPeakScore,VisibleSponsorsDuringPeak
PBKS_vs_MI_Q2,PBKS,2.4,0.07348906,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,7.68,0.09445251,"DREAM 11, KENT, TSHIRT"
PBKS_vs_MI_Q2,PBKS,11.52,0.10833268,DREAM 11
PBKS_vs_MI_Q2,PBKS,16.32,0.061055206,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,19.2,0.14853077,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,23.52,0.13909534,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,28.32,0.14335898,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,30.72,0.10526577,"DREAM 11, KENT, TSHIRT"
PBKS_vs_MI_Q2,PBKS,34.08,0.11092717,"DREAM 11, KENT, TSHIRT"
PBKS_vs_MI_Q2,PBKS,37.92,0.065108426,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,40.32,0.07112245,BKT
PBKS_vs_MI_Q2,PBKS,42.72,0.07687758,DREAM 11
PBKS_vs_MI_Q2,PBKS,47.04,0.07674374,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,53.28,0.076887414,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,56.16,0.076541774,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,60.96,0.076838925,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,64.8,0.07682668,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,68.64,0.07690762,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,74.88,0.07664477,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,80.16,0.076554015,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,85.92,0.076790355,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,88.8,0.07240926,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,91.68,0.075294375,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,95.52,0.07348753,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,100.32,0.076390415,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,104.16,0.07135822,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,107.52,0.07679922,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,114.72,0.07687605,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,119.04,0.06858068,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,121.92,0.0767275,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,126.72,0.076678984,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,132.48,0.07684676,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,135.36,0.07658589,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,139.2,0.074090496,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,143.51999999999998,0.076300114,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,147.36,0.07625064,NoSponsorDetected
