Stadium Name,Home Team,Boundary Type,Measurements
Narendra Modi Stadium,Ahmedabad,Straight (end-to-end),75 m-89 m
Narendra Modi Stadium,Ahmedabad,Square (off-side & leg-side),66 m-74 m
Narendra Modi Stadium,Ahmedabad,Behind the wicket,62 m-71 m
M. Chinnaswamy Stadium,Bengaluru,Straight,76 m
M. Chinnaswamy Stadium,Bengaluru,Square,63 m-64 m
M. Chinnaswamy Stadium,Bengaluru,Behind the wicket,58 m
MA Chidambaram Stadium,Chennai,Straight,74 m
MA Chidambaram Stadium,Chennai,Square,60 m-72 m
MA Chidambaram Stadium,Chennai,Behind the wicket,56 m
Arun Jaitley Stadium,Delhi,Straight,67 m
Arun Jaitley Stadium,Delhi,Square,65 m
Arun Jaitley Stadium,Delhi,Behind the wicket,61 m-62 m
Eden Gardens,Kolkata,Straight,76 m-84 m
Eden Gardens,Kolkata,Square,63 m-68 m
Eden Gardens,Kolkata,Behind the wicket,66 m-71 m
BRSABV Ekana Stadium,Lucknow,Straight,68 m-81 m
BRSABV Ekana Stadium,Lucknow,Square,63 m-67 m
BRSABV Ekana Stadium,Lucknow,Behind the wicket,63 m-69 m
Rajiv Gandhi International Stadium,Hyderabad,Straight,72 m
Rajiv Gandhi International Stadium,Hyderabad,Square,63 m-70 m
Rajiv Gandhi International Stadium,Hyderabad,Behind the wicket,62 m
Wankhede Stadium,Mumbai,Straight,70 m-82 m
Wankhede Stadium,Mumbai,Square,64 m-68 m
Wankhede Stadium,Mumbai,Behind the wicket,64 m
Maharaja Yadavindra Singh Int’l Stadium,Punjab,Straight,74 m
Maharaja Yadavindra Singh Int’l Stadium,Punjab,Square,66 m-69 m
Maharaja Yadavindra Singh Int’l Stadium,Punjab,Behind the wicket,60 m-61 m
Sawai Mansingh Stadium,Rajasthan,Straight,73 m-81 m
Sawai Mansingh Stadium,Rajasthan,Square,63 m-76 m
Sawai Mansingh Stadium,Rajasthan,Behind the wicket,61 m-67 m
